,fire_true_no_fire_false,avg_temp,prcp,humidity,dew_point,strms_blw_extndd_wghtd_avg,number_of_strikes
0,False,30.08205128205129,2.2178536585365856,78.80060019914036,-4.5670506674312215,9.07925659702724,0.0
1,False,33.38205128205129,0.3537073170731708,71.1784547328255,-4.29150547789542,11.85152009079091,0.0
2,False,42.29230769230768,1.0355853658536587,58.16437268522961,-3.04387213512182,5.375433963615077,0.0
3,False,45.73846153846156,1.6658292682926827,57.112693491341716,-1.4602282853336983,1.7633970527739475,0.0
4,True,59.920512820512855,1.0936341463414634,52.850319213260306,4.295040771300566,0.5638848605141481,1.0
5,False,63.989743589743576,1.1752954545454544,56.167331387286296,7.645969096355128,2.4509221709529854,0.0
6,False,69.60512820512822,1.0470681818181815,52.421235764730014,9.115760474980512,8.160586013932692,0.0
7,False,71.84761904761906,0.8224772727272728,46.273181587580034,8.47152166015314,15.096988971687628,0.0
8,False,63.37380952380953,1.2249090909090914,55.65272694264197,7.3276973229571425,18.16930348006264,0.0
9,False,48.05000000000001,1.139227272727273,60.272388701504276,0.8404933285661986,19.132530699470017,0.0
10,False,38.333333333333336,0.6572500000000002,73.0332757522652,-1.371622861685804,21.112451763752546,0.0
11,False,27.16904761904764,0.6535000000000003,77.2680277683527,-4.378815068506988,25.09427816558575,0.0
12,False,34.952380952380956,2.0562954545454546,76.70559440356895,-1.4755519355679079,23.26924045914757,0.0
13,False,35.980952380952395,1.1870227272727272,74.63851054393494,-1.1655638188190116,22.17656212104745,0.0
14,False,39.93333333333334,1.04725,68.03883875125577,-1.270817905899117,12.258819233121182,0.0
15,False,47.17619047619047,0.832409090909091,61.54932543081252,0.005395120272940868,2.551368840698803,0.0
16,False,54.63333333333332,3.237045454545454,66.35521083609795,4.251577335190243,0.7083992366016116,0.0
17,False,60.51190476190473,1.2921136363636359,62.17898610200859,6.413849226016299,1.9513955598242976,0.0
18,True,75.35476190476189,0.8256590909090907,50.68456959229314,10.133137537794196,11.386680095761127,2.0
19,True,73.3,0.10543181818181817,42.86257866807738,6.841618213518017,21.36055695261567,2.0
20,False,66.13333333333333,1.6658181818181825,56.93377313125143,7.901899764907757,22.92988382552735,0.0
21,False,48.6047619047619,0.3077954545454545,59.859533922627676,0.7850062158948323,26.51419560359005,0.0
22,False,40.94285714285714,1.55415909090909,72.93030042962731,0.34855282921288394,24.39093795724729,0.0
23,False,26.98333333333333,1.3442954545454544,74.53735703867453,-5.2848159520730436,24.075001426085496,0.0
24,False,32.580952380952375,1.253181818181819,74.56720681943865,-2.8416446964856314,20.406921954383268,0.0
25,False,34.4357142857143,1.5611136363636355,70.36847366395737,-2.9442631532466126,20.779531797864436,0.0
26,False,41.1857142857143,0.6493181818181815,60.98596538574529,-2.72212434171951,6.273239916952668,0.0
27,False,44.95000000000003,1.1178863636363638,57.00616631496336,-2.151181096963817,1.85547607542282,0.0
28,False,52.94761904761905,1.6672727272727264,55.249347617433095,0.8220323559890872,0.9996842728964948,0.0
29,False,62.54523809523806,0.954454545454546,52.73224609577438,4.854383675027145,0.8789813569949952,0.0
30,False,70.11190476190477,0.2911590909090908,40.16993652518721,4.378200937573129,11.274839022091877,0.0
31,True,71.53809523809525,0.8459772727272727,44.98512228685757,6.777718336766049,20.81032205822152,1.0
32,False,59.75454545454545,0.029386363636363644,39.061773849856166,-0.651850033162145,25.83653564055817,0.0
33,False,50.49090909090908,0.46161363636363634,44.76485847926465,-2.7754049239218825,29.833281950109253,0.0
34,False,43.52045454545453,0.8261363636363636,61.89819266545942,-1.2296954663645063,23.4322012326968,0.0
35,False,30.03409090909093,0.7604999999999997,76.54767609191536,-3.7764991876881995,26.246121540865424,0.0
36,False,31.1840909090909,1.3136363636363642,78.72306040913674,-2.858407080842039,27.522900745343968,0.0
37,False,37.9340909090909,1.6931363636363637,72.63826854838142,-1.352324476513727,27.705129597479743,0.0
38,False,40.5068181818182,1.1884545454545454,62.50580783746499,-2.535027763451364,9.330248899307128,0.0
39,False,50.665909090909075,0.8717954545454544,54.27675865620636,0.3942718620789966,2.309224081351519,0.0
40,False,56.681818181818215,1.1307500000000006,53.5099511018517,2.4301430463837557,4.939461100564298,0.0
41,False,64.91818181818184,0.4601590909090907,44.57052192560673,3.3795892316383656,9.000085555579886,0.0
42,False,72.43181818181817,0.17536363636363636,39.560097872287685,4.975589555574239,21.181670268301453,0.0
43,False,72.5090909090909,0.1356136363636364,35.4872836994545,4.0548789744283225,28.81710625249783,0.0
44,False,59.64999999999997,1.1688636363636362,51.320509299562374,3.4732961043775195,35.77449877503489,0.0
45,False,48.286363636363646,1.6293863636363637,63.44082012760896,1.6376006861991443,36.85777958152759,0.0
46,False,28.793181818181814,0.6547272727272726,76.97294790543356,-4.296219372814,45.227582622268606,0.0
47,False,27.43409090909091,0.5634090909090911,80.45429829710436,-4.308703713424257,50.61715288540633,0.0
48,False,23.68863636363636,0.9223181818181821,80.55475272903116,-6.2608792702216425,54.37226325601104,0.0
49,False,28.30454545454545,0.6100227272727272,77.22955680188016,-4.687871495586611,50.42331394180553,0.0
50,False,41.57045454545457,0.7743409090909094,67.0542197670065,-0.9807440039927616,44.2672393609196,0.0
51,False,46.10227272727274,1.028045454545455,61.313869907174855,-0.9639987798409194,32.37181791955555,0.0
52,False,58.5431818181818,0.382909090909091,44.81104393303596,0.46056537950680293,10.549295162948354,0.0
53,False,63.068181818181806,0.6698181818181816,47.39659943617708,3.217334349318851,17.963373008913234,0.0
54,False,71.98409090909088,0.4902272727272728,46.21702712961965,6.949131966170436,28.0904589008502,0.0
55,True,74.36190476190478,0.06554761904761905,37.63529795023333,5.548853917288829,31.43495006748344,1.0
56,False,64.61818181818178,0.46927272727272734,44.49378929766566,3.3930737307259173,39.90097519890388,0.0
57,False,49.863636363636346,0.9045681818181815,49.19141425554492,-0.9587298498166565,52.153206885119246,0.0
58,False,40.51818181818181,1.137681818181818,72.80260838082921,0.4143390130009918,52.51009688499773,0.0
59,False,26.70681818181818,1.1155227272727275,80.11033752561853,-4.203222214776674,54.60883327500814,0.0
